California Statewide Law Enforcement Association, Public
Nigerian Economic and Financial Crimes Commission, Public
UMG, Private
United States Department of Justice, Public
United States Copyright Office, Public
Federal Bureau of Investigation, Public
MPAA, Association
Warner Brothers Music, Private
RIAA, Association
HADOPI, Public
Sejm, Public
Polish Prime Minister, Public
President, Public
Ministry of Culture and National Heritage, Public
Police, Public
Internal Security Agency, Public
Ministry of Foreign Affairs, Public
presidential website, Public
Ministry of Justice, Public
Ministry of Internal Affairs, Public
Ministry of Economy, Public
Federal Chancellor, Public
Nova Ljubljanska Banka, Private
Federal Agency for Youth Affairs, (OPERATION RUSSIA)
